"Year","Month","Photo","Video","Other","Total","Unpaid"
"2026","1","-","-","-","-","-"
"2025","1","10000.00","18100.00","-","28100.00","-"
"2024","1","27500.00","4250.00","-","31750.00","8850.00"
"2026","2","-","-","-","-","-"
"2025","2","4100.00","1200.00","1000.00","6300.00","-"
"2024","2","10100.00","3200.00","-","13300.00","10800.00"
"2026","3","2600.00","1200.00","-","3800.00","-"
"2025","3","19400.00","5500.00","-","24900.00","-"
"2024","3","-","-","-","-","-"
"2026","4","8400.00","11200.00","-","19600.00","-"
"2025","4","12800.00","5000.00","-","17800.00","-"
"2024","4","-","-","-","-","-"
"2026","5","11700.00","4800.00","1000.00","17500.00","-"
"2025","5","18050.00","4200.00","-","22250.00","-"
"2024","5","-","-","-","-","-"
"2026","6","31800.00","1200.00","-","33000.00","-"
"2025","6","15945.00","8700.00","-","24645.00","-"
"2024","6","-","-","-","-","-"
"2026","7","7800.00","9400.00","610.00","17810.00","-"
"2025","7","10600.00","8900.00","8000.00","27500.00","-"
"2024","7","-","-","-","-","-"
"2026","8","4200.00","7000.00","-","11200.00","-"
"2025","8","7800.00","9000.00","2200.00","19000.00","-"
"2024","8","-","-","-","-","-"
"2026","9","19480.00","13100.00","-","32580.00","-"
"2025","9","18000.00","3200.00","5500.00","26700.00","-"
"2024","9","-","-","-","-","-"
"2026","10","30800.00","2400.00","-","33200.00","-"
"2025","10","39700.00","14500.00","200.00","54400.00","-"
"2024","10","-","-","-","-","-"
"2026","11","28368.00","3600.00","6260.00","38228.00","-"
"2025","11","14500.00","6400.00","4760.00","25660.00","-"
"2024","11","-","-","-","-","-"
"2026","12","14300.00","9500.00","-","23800.00","-"
"2025","12","31400.00","1200.00","-","32600.00","1800.00"
"2024","12","-","-","-","-","-"
